121	one to one
2moro	tomorrow
2nite	tonight
a/s/l	age, sex, location
afaik	as far as I know
afaicr	as far as I can remember
afair	as far as I remember
asap	as soon as possible
asl	age, sex, location
adn	any day now
afaik	as far as I know
afk	away from keyboard
aight	alright
alol	actually laughing out loud
atm	at the moment
awol	absent without official leave
b	be 
b4	before
b4n	bye for now
bak	back at the keyboard
bbs	be back soon
bbz	babes
bcnu	be seeing you
bf	boyfriend
bff	best friends forever
bfn	bye for now
bg	big grin
brb	be right back
bta	but then again
btw	by the way
cid	crying in disgrace
cmiiw	correct me if I'm wrong
cnp	continued in my next post
cp	chat post
cu	see you
cul	see you later
cul8r	see you later
cya	bye
cyo	see you online
dbau	doing business as usual
dbeyr	don not believe everything you read
dilligas	do I look like i give a shit
diy	do it yourself
dl	download
dnd	do not disturb
eom	end of message
esad	eat shit and die
eta	estimated time of arrival
fb	facebook
ffs	for fuck sake
fml	fuck my life
foad	fuck off and die
foaf	friend of a friend
ftr	for the record
ftw	for the win
fu	fuck you
fud	fear, uncertainty, and doubt
fwiw	for what it's worth
fyi	for your information
g2g	got to go
g8	great
gr8	great
ga	go ahead
gal	get a life
gf	girlfriend
gfn	gone for now
gmbo	giggling my butt off
gmta	great minds think alike
gn	good night
gtfu	get the fuck out
gtg	got to go
gud	good
h8	hate
hagn	have a good night
hdop	help delete online predators
hhis	hanging head in shame
iac	in any case
ianal	I am not a lawyer
ic	I see
icyi	in case you are interested
icumi	in case you miss it
icymi	in case you miss it
idk	I do not know
ily	I love you
imao	in my arrogant opinion
imho	in my humble opinion
imnsho	in my not so humble opinion
imo	in my opinion
iow	in other words
ipn	I'm posting naked
irl	in real life
iykwim	if you know what I mean
j/k	just kidding
jk	just kidding
k	okay 
l8	late
l8r	later
ld	later, dude
ldr	long distance relationship
llta	lots and lots of thunderous applause
lmao	laugh my ass off
lmfao	laughing my fucking ass off
lmirl	let's meet in real life
lmk	let me know
lol	laugh out loud
ldr	long distance relationship
ltns	long time no see
ltr	longterm relationship
lulab	love you like a brother
lulas	love you like a sister
lulz	laugh out loud
luv	love
lylab	love you like a brother
lylas	love you like a sister
m/f	male or female
m8	mate
milf	mother I would like to fuck
myob	mind your own business
nimby	not in my back yard
np	no problem
nsfw	not safe for work
nub	new person
nvm	nevermind
n00b	newbie
oic	oh I see
oll	online love
omg	oh my god
omfg	oh my fucking god
orly	oh really
otoh	on the other hand
pir	parent in room
pita	pain in the ass
pls	please
plz	please
pov	point of view
ppl	people
pr0n	porn
pwn	own
pwned	owned
r	are 
rbtl	read between the lines
rofl	roll on the floor laughing
roflmao	roll on floor laughing my ass off
rotflmao	roll on the floor laughing my ass off
roflol	rolling on floor laughing out loud
rotflol	rolling on the floor laughing out loud
rpg	role playing games
rtfm	read the fucking manual
rtm	read the manual
ru	are you
sfw	safe for work
shid	slaps head in disgust
sitd	still in the dark
somy	sick of me yet
sot	short of time
sry	sorry
stby	sucks to be you
stfu	shut the fuck up
swak	sealed with a kiss
tbh	to be honest
tc	take care
tgif	thank god it is friday
thanx	thanks
thnx	thanks
thx	thanks
tlc	tender loving care
tldr	too long did not read
tnx	thanks
tmi	too much information
tq	thank you
ttyl	talk to you later
ttys	talk to you soon
ty	thank you
tyvm	thank you very much
u	you  
v	very 
ur	you are
uw	you're welcome
vbg	very big grin
w8	wait
wb	welcome back
wbu	what about you
weg	wicked evil grin
wfm	works for me
wibni	wouldn't it be nice if
w00t	exuberance
w00T	exuberance
wrt	with respect to
wtf	what the fuck
wtg	way to go
wtgp	want to go private
wth	what the hell
wysiwyg	what you see is what you get
wywh	wish you were here
x	kiss 
xoxo	hugs and kisses
xx	kisses
ym	young man
yolo	you only live once
zomg	oh my god
zz	sleeping
zzz	sleeping
